searchQuery,labels(json),stage
깨진 앞니 레진,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""깨진"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",2단계:정보탐색
치과에서 교정하면서 앞니를 갈때 이가 깨졌어,"[{""matched_expression"": ""깨졌어"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""교정"", ""label"": ""진료:교정""}]",2단계:정보탐색
이빨 아래 어금니 발치,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""이빨"", ""label"": ""구강:치아""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}, {""matched_expression"": ""아래"", ""label"": ""치아위치:아랫니""}]",2단계:정보탐색
어금니발치 임플란트 안해되나요,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""되나요"", ""label"": ""의도:가능성문의""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}]",2단계:정보탐색
아래 어금니 없을때,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""아래"", ""label"": ""치아위치:아랫니""}]",2단계:정보탐색
아래 마지막 어금니 임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""마지막"", ""label"": ""기타:마지막""}, {""matched_expression"": ""아래"", ""label"": ""치아위치:아랫니""}]",2단계:정보탐색
어금니 뺀뒤,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}]",2단계:정보탐색
어금니 발치당일 임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""당일"", ""label"": ""시간:당일""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}]",2단계:정보탐색
37번어금니임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""37번"", ""label"": ""치아:37번""}]",2단계:정보탐색
아래어금니임플란트당일가능,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""가능"", ""label"": ""상태:가능""}, {""matched_expression"": ""당일"", ""label"": ""시간:당일""}, {""matched_expression"": ""아래"", ""label"": ""치아위치:아랫니""}]",2단계:정보탐색
아래 어금이 임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""아래"", ""label"": ""치아위치:아랫니""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
어금니 임플런트 심을때 미취,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""임플"", ""label"": ""진료:임플란트""}]",2단계:정보탐색
어금니 발치한부분,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""부분"", ""label"": ""위치:부위""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}]",2단계:정보탐색
어금니 임플란트 사진,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""사진"", ""label"": ""진료보조:사진""}]",2단계:정보탐색
오산 발치즉시 임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""즉시"", ""label"": ""시간:긴급/당일""}, {""matched_expression"": ""오산"", ""label"": ""지역:오산""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}]",3단계:지역탐색
아래어금니발치,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}, {""matched_expression"": ""아래"", ""label"": ""치아위치:아랫니""}]",2단계:정보탐색
47번어금니 임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""47번"", ""label"": ""치아:47번""}]",2단계:정보탐색
어금니 발치 임플란트삽입 당일,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""당일"", ""label"": ""시간:당일""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}]",2단계:정보탐색
아래 어금니 좌측 모두몇대인가,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""아래"", ""label"": ""치아위치:아랫니""}]",2단계:정보탐색
타원에서 근관치료 중단되어 온 경우,"[{""matched_expression"": ""근관치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""경우"", ""label"": ""치료:케이스""}]",2단계:정보탐색
동탄 크라운 이빨,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""이빨"", ""label"": ""구강:치아""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 신경치료 안아프게하는 치과,"[{""matched_expression"": ""안아프게"", ""label"": ""증상:통증""}, {""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
22번 이빨 크라운 이질감,"[{""matched_expression"": ""이질감"", ""label"": ""증상:이질감""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""22번"", ""label"": ""치아:22번""}, {""matched_expression"": ""이빨"", ""label"": ""구강:치아""}]",2단계:정보탐색
교정 치아 뿌리 끊,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""교정"", ""label"": ""진료:교정""}, {""matched_expression"": ""뿌리"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
앞니신경치료한이도아픈가요,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""가요"", ""label"": ""의도:탐색""}, {""matched_expression"": ""아픈"", ""label"": ""증상:통증""}]",2단계:정보탐색
동탄나무치과 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""나무"", ""label"": ""재료:나무""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 앞니염증치료 치과 추천,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""추천"", ""label"": ""의도:추천요청""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",3단계:지역탐색
앞니 재신경치료 통증,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""통증"", ""label"": ""증상:통증""}]",2단계:정보탐색
동탄 하나로치과의원 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""하나로"", ""label"": ""브랜드/제품:하나로""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""의원"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
마취없이 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""없이"", ""label"": ""상태:부재""}, {""matched_expression"": ""마취"", ""label"": ""진료:마취""}]",2단계:정보탐색
재신경치료 염증 후기,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""후기"", ""label"": ""의도:후기문의""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
동탄 재신경치료 앞니크라운,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 신경치료 안아프게,"[{""matched_expression"": ""안아프게"", ""label"": ""증상:통증""}, {""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 앞니 크라운 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 앞니 신경치료,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
재신경치료 잘하는곳 추천 동탄 치과,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""잘하는곳"", ""label"": ""의도:추천요청""}, {""matched_expression"": ""추천"", ""label"": ""의도:추천요청""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 이편한치과,"[{""matched_expression"": ""이편한"", ""label"": ""병원명:이편한치과""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",4단계:병원인지
오산앞니 벌어짐,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""오산"", ""label"": ""지역:오산""}]",3단계:지역탐색
치아사이레진,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""사이"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",2단계:정보탐색
치아뿌리 교정,"[{""matched_expression"": ""치아뿌리"", ""label"": ""치아부위:치근""}, {""matched_expression"": ""교정"", ""label"": ""진료:교정""}]",2단계:정보탐색
치아뿌리 흡수,"[{""matched_expression"": ""치아뿌리"", ""label"": ""치아부위:치근""}, {""matched_expression"": ""흡수"", ""label"": ""증상:흡수""}]",2단계:정보탐색
교정앞니흔들림,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""흔들"", ""label"": ""증상:흔들림""}, {""matched_expression"": ""교정"", ""label"": ""진료:교정""}]",2단계:정보탐색
치근흡수에의한치아흔들림,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""흔들"", ""label"": ""증상:흔들림""}, {""matched_expression"": ""흡수"", ""label"": ""증상:흡수""}, {""matched_expression"": ""치근"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
교정중 치아흔들림,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""흔들"", ""label"": ""증상:흔들림""}, {""matched_expression"": ""교정"", ""label"": ""진료:교정""}]",2단계:정보탐색
동탄2 당일임플란트치과,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""동탄2"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""당일"", ""label"": ""시간:당일""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",3단계:지역탐색
앞니 뿌리 흡수,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""흡수"", ""label"": ""증상:흡수""}, {""matched_expression"": ""뿌리"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
교정 후 치아 뿌리,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""교정"", ""label"": ""진료:교정""}, {""matched_expression"": ""뿌리"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
앞니 발치 교정,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""교정"", ""label"": ""진료:교정""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}]",2단계:정보탐색
임플란트 교합 낮으면 편해요,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""교합"", ""label"": ""치아해부학:교합""}]",2단계:정보탐색
오산틀니치과,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""오산"", ""label"": ""지역:오산""}, {""matched_expression"": ""틀니"", ""label"": ""진료:보철""}]",3단계:지역탐색
임플란트가 편한가,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}]",2단계:정보탐색
임플란트보다 틀니가 편함,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""틀니"", ""label"": ""진료:보철""}]",2단계:정보탐색
브릿지로인한잇몸퇴축,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""퇴축"", ""label"": ""증상:퇴축""}]",2단계:정보탐색
잇몸브릿지치아잇몸꺼짐,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}]",2단계:정보탐색
치주염 치료로 인해 브릿지교체시 치아보험,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""치주염"", ""label"": ""질병:치주염""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""교체"", ""label"": ""진료:교체""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}, {""matched_expression"": ""보험"", ""label"": ""결제/보험:보험""}]",2단계:정보탐색
브릿지 잇몸 퇴축,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""퇴축"", ""label"": ""증상:퇴축""}]",2단계:정보탐색
내이튼치과 치석제거,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""치석"", ""label"": ""증상:치석""}, {""matched_expression"": ""제거"", ""label"": ""진료:발치""}]",4단계:병원인지
브릿지치아 잇몸퇴축,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""퇴축"", ""label"": ""증상:퇴축""}]",2단계:정보탐색
치과 브릿지 교체,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""교체"", ""label"": ""진료:교체""}]",2단계:정보탐색
앞니 뒤쪽 잇몸,"[{""matched_expression"": ""뒤쪽"", ""label"": ""방향:뒤쪽""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}]",2단계:정보탐색
앞니 브릿지 잇몸퇴축,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""퇴축"", ""label"": ""증상:퇴축""}]",2단계:정보탐색
잇몸퇴축 브릿지,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""퇴축"", ""label"": ""증상:퇴축""}]",2단계:정보탐색
치아 벌레 사진,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""사진"", ""label"": ""진료보조:사진""}]",2단계:정보탐색
2동탄 왜소치,"[{""matched_expression"": ""2동탄"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""왜소치"", ""label"": ""질병:왜소치""}]",3단계:지역탐색
2동탄라미네이트치과,"[{""matched_expression"": ""라미네이트"", ""label"": ""진료:라미네이트""}, {""matched_expression"": ""2동탄"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",3단계:지역탐색
씌운치아통증,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""통증"", ""label"": ""증상:통증""}, {""matched_expression"": ""씌운"", ""label"": ""진료:크라운""}]",2단계:정보탐색
치아엔도,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""엔도"", ""label"": ""진료:신경치료""}]",2단계:정보탐색
치과엔도,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""엔도"", ""label"": ""진료:신경치료""}]",2단계:정보탐색
엔도 안하고 씌운 치아가 염증 있을때,"[{""matched_expression"": ""안하고"", ""label"": ""상태:부재""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""엔도"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""씌운"", ""label"": ""진료:크라운""}]",2단계:정보탐색
치아 옆면 변색 레진,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""옆면"", ""label"": ""치아부위:측면""}]",2단계:정보탐색
옆면충치 레진 치과,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""옆면"", ""label"": ""치아부위:측면""}]",2단계:정보탐색
어금니 옆면 충치,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""옆면"", ""label"": ""치아부위:측면""}]",2단계:정보탐색
치아 균,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}]",2단계:정보탐색
라미네이트 레진,"[{""matched_expression"": ""라미네이트"", ""label"": ""진료:라미네이트""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",2단계:정보탐색
동탄 앞니벌어짐 레진,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
치아 뒷면 깨짐,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""뒷면"", ""label"": ""방향:뒤쪽""}, {""matched_expression"": ""깨짐"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
앞니 깨짐 동탄,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""깨짐"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄역라미네이트,"[{""matched_expression"": ""라미네이트"", ""label"": ""진료:라미네이트""}, {""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}]",3단계:지역탐색
동탄 앞니 깨짐,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""깨짐"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
신경치료 후 잇몸 검게,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""검게"", ""label"": ""증상:변색""}]",2단계:정보탐색
앞니 신경치료 잇몸 변색,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}]",2단계:정보탐색
치아 뿌리 변색,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}, {""matched_expression"": ""뿌리"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
치아뿌리 변색,"[{""matched_expression"": ""치아뿌리"", ""label"": ""치아부위:치근""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}]",2단계:정보탐색
브릿지치아 잇몸변색,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}]",2단계:정보탐색
앞니신경치료후잇몸붉어짐,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}]",2단계:정보탐색
치과치료후앞니가회색으로변햇어요,"[{""matched_expression"": ""앞니가"", ""label"": ""위치:앞니""}, {""matched_expression"": ""치료후"", ""label"": ""치료시기:치료후""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""회색"", ""label"": ""형태/색상:색상""}]",2단계:정보탐색
앞니신경치료후 잇몸변색,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}]",2단계:정보탐색
잇몸 퇴축 임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""퇴축"", ""label"": ""증상:퇴축""}]",2단계:정보탐색
크랙 인레이,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""크랙"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
치과 씌운것,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""씌운"", ""label"": ""진료:크라운""}]",2단계:정보탐색
어금니 인레이 크라운,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}]",2단계:정보탐색
골드 인레이 크랙,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""크랙"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
어금니 골드인레이 크랙,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""크랙"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
어금니크랙 인레이,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""크랙"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
치아파절 크라운,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
어금니 인레이 파절,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
골드인레이 크랙 크라운,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""크랙"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
동탄역 치과 인레이,"[{""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}, {""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",3단계:지역탐색
인레이 속에 충치,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
흔들리는 이 신경치료,"[{""matched_expression"": ""흔들리는"", ""label"": ""증상:흔들림""}, {""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}]",2단계:정보탐색
흔들리는 치아 잇몸치로 신경 치료 가능한가요,"[{""matched_expression"": ""흔들리는"", ""label"": ""증상:흔들림""}, {""matched_expression"": ""한가요"", ""label"": ""진료:예약가능여부""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""가능"", ""label"": ""상태:가능""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""신경"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",2단계:정보탐색
흔들리는 치아 통증,"[{""matched_expression"": ""흔들리는"", ""label"": ""증상:흔들림""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""통증"", ""label"": ""증상:통증""}]",2단계:정보탐색
상악동 거상술 후 인플란트 재식립,"[{""matched_expression"": ""인플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""거상술"", ""label"": ""진료:거상술""}, {""matched_expression"": ""상악동"", ""label"": ""진료:상악동거상술""}, {""matched_expression"": ""식립"", ""label"": ""진료:임플란트""}]",2단계:정보탐색
임플란트 상악동 측방,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""상악동"", ""label"": ""진료:상악동거상술""}, {""matched_expression"": ""측방"", ""label"": ""방향:수평""}]",2단계:정보탐색
측방접근법을 이용한 상악동거상술,"[{""matched_expression"": ""거상술"", ""label"": ""진료:거상술""}, {""matched_expression"": ""상악동"", ""label"": ""진료:상악동거상술""}, {""matched_expression"": ""접근법"", ""label"": ""진료과정:방법론""}, {""matched_expression"": ""측방"", ""label"": ""방향:수평""}]",2단계:정보탐색
